current_gpa,target_gpa,learning_style,Weak_Mathematics,Weak_Physics,Weak_Chemistry,Weak_Computer Science,Weak_English
7.5,9.0,Reading/Writing,3,3,4,3,3
7.5,9.0,Visual,3,3,3,3,3
7.5,9.0,Visual,3,3,3,3,3
7.5,9.0,Visual,3,3,3,3,3
7.5,9.0,Visual,3,3,3,3,3
7.5,9.0,Visual,3,3,3,3,3
7.5,9.0,Visual,3,3,3,3,3
7.5,9.0,Visual,3,3,3,3,3
7.5,9.0,Reading/Writing,4,3,4,2,3
7.5,9.0,Reading/Writing,4,3,4,2,3
7.5,9.0,Visual,3,3,3,3,3
7.5,9.0,Visual,3,3,3,3,3
7.5,9.0,Visual,3,3,3,3,3
7.5,9.0,Visual,3,3,3,3,3
7.460000000000001,8.96,Reading/Writing,2,3,4,3,3
7.460000000000001,8.96,Reading/Writing,2,3,4,3,3
7.460000000000001,8.96,Reading/Writing,2,3,4,3,3
7.5,8.97,Visual,4,4,3,3,3
