Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,English
English,English,English,English,Physics,Physics,Physics
Physics,Physics,Computer Science,Computer Science,Computer Science,Computer Science,Computer Science
Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Mathematics,Mathematics
Mathematics,Mathematics,Mathematics,Physics,Physics,Physics,Physics
Physics,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,English
Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Mathematics,Mathematics
Mathematics,Mathematics,Mathematics,Physics,Physics,Physics,Physics
Physics,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,English
Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Mathematics,Mathematics
Mathematics,Mathematics,Mathematics,Physics,Physics,Physics,Physics
Physics,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,English
Computer Science,Computer Science,Computer Science,Computer Science,Computer Science,Mathematics,Mathematics
Mathematics,Mathematics,Mathematics,Physics,Physics,Physics,Physics
Physics,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,English
Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,
Mathematics,Mathematics,Mathematics,,Mathematics,,
Mathematics,,Mathematics,,English,,
,,English,,English,,
,,English,,English,,
Chemistry,,Chemistry,Chemistry,Chemistry,Chemistry,
Chemistry,,English,,English,English,
English,,English,,Physics,Physics,
,,Physics,,,,
,,Physics,,,,
,,Physics,,,,
Chemistry,,Chemistry,Chemistry,Chemistry,Chemistry,
Chemistry,,English,,English,English,
English,,English,,Physics,Physics,
,,Physics,,,,
,,Physics,,,,
,,Physics,,,,
Chemistry,,Chemistry,Chemistry,Chemistry,Chemistry,
Chemistry,,English,,English,English,
English,,English,,Physics,Physics,
,,Physics,,,,
,,Physics,,,,
,,Physics,,,,
Mathematics,Mathematics,Mathematics,Mathematics,Mathematics,Mathematics,Physics
Physics,Physics,Physics,Physics,Physics,Computer Science,Computer Science
Computer Science,Computer Science,Computer Science,English,English,English,English
